day,case,deaths
0,1,0
1,1,0
2,0,0
3,2,0
4,5,0
5,3,0
6,7,0
7,7,0
8,21,0
9,57,0
10,70,0
11,154,1
12,356,1
13,621,0
14,643,2
15,1032,6
16,2122,9
17,2453,8
18,2976,20
19,3706,24
20,4010,46
21,2634,44
22,2575,49
23,3554,82
24,4488,95
25,4831,121
26,5021,189
27,5088,214
28,3452,262
29,3521,289
30,6098,321
31,5258,372
32,5149,421
33,5750,472
34,5642,469
35,3848,482
36,3763,550
37,6347,547
38,6041,577
39,5550,531
40,5028,522
41,4412,506
42,3704,516
43,2867,542
44,3285,538
45,4119,490
46,3866,432
47,3525,389
48,3553,356
49,2117,358
50,2351,364
51,3769,333
52,3058,294
53,3458,290
54,2834,300
55,2465,292
56,1589,232
57,1010,224
58,2303,240
59,2713,204
60,2336,206
61,2002,188
62,1865,173
63,1047,167
64,776,150
65,1545,123
66,1507,107
67,1384,110
68,1215,92
69,1058,85
70,637,71
72,6513,98
73,11105,100
74,18740,75
75,32455,70
76,57034,81
77,100710,84
78,177160,82
79,307813,87
80,516314,52
81,825189,44
82,1212311,93
83,1542577,73
84,1553106,93
85,1103090,58
86,507892,59
87,161641,44
88,44573,28
89,12834,54
90,4138,57
91,1474,61
92,534,54
93,175,37
94,50,22
95,13,15
96,4,25
97,1,39
98,0,38
99,0,23
100,0,31
101,0,22
