day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,100,1
12,100,1
13,0,0
14,200,2
15,600,6
16,900,9
17,800,8
18,2000,20
19,2400,24
20,4600,46
21,4400,44
22,4900,49
23,8200,82
24,9500,95
25,12100,121
26,18900,189
27,21400,214
28,26200,262
29,28900,289
30,32100,321
31,37200,372
32,42100,421
33,47200,472
34,46900,469
35,48200,482
36,55000,550
37,54700,547
38,57700,577
39,53100,531
40,52200,522
41,50600,506
42,51600,516
43,54200,542
44,53800,538
45,49000,490
46,43200,432
47,38900,389
48,35600,356
49,35800,358
50,36400,364
51,33300,333
52,29400,294
53,29000,290
54,30000,300
55,29200,292
56,23200,232
57,22400,224
58,24000,240
59,20400,204
60,20600,206
61,18800,188
62,17300,173
63,16700,167
64,15000,150
65,12300,123
66,10700,107
67,11000,110
68,9200,92
69,8500,85
70,7100,71
72,10785,1247
73,10153,1257
74,9826,1309
75,9684,1300
76,9479,1185
77,9507,1008
78,9639,920
79,9993,844
80,9864,883
81,9808,858
82,9791,804
83,9792,745
84,9823,671
85,9854,717
86,9871,672
87,9839,579
88,9821,545
89,9808,588
90,9796,461
91,9783,508
92,9763,463
93,9735,375
94,9702,425
95,9668,372
96,9633,287
97,9594,234
98,9552,255
99,9506,238
100,9456,192
101,9403,176
