day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,50,1
12,50,1
13,0,0
14,100,2
15,300,6
16,450,9
17,400,8
18,1000,20
19,1200,24
20,2300,46
21,2200,44
22,2450,49
23,4100,82
24,4750,95
25,6050,121
26,9450,189
27,10700,214
28,13100,262
29,14450,289
30,16050,321
31,18600,372
32,21050,421
33,23600,472
34,23450,469
35,24100,482
36,27500,550
37,27350,547
38,28850,577
39,26550,531
40,26100,522
41,25300,506
42,25800,516
43,27100,542
44,26900,538
45,24500,490
46,21600,432
47,19450,389
48,17800,356
49,17900,358
50,18200,364
51,16650,333
52,14700,294
53,14500,290
54,15000,300
55,14600,292
56,11600,232
57,11200,224
58,12000,240
59,10200,204
60,10300,206
61,9400,188
62,8650,173
63,8350,167
64,7500,150
65,6150,123
66,5350,107
67,5500,110
68,4600,92
69,4250,85
70,3550,71
72,8379,193
73,8569,236
74,9107,296
75,9947,326
76,10939,366
77,12354,401
78,14159,576
79,16519,535
80,18309,546
81,20445,576
82,22921,640
83,25738,683
84,28932,735
85,32483,643
86,36371,667
87,40538,601
88,45153,635
89,50220,630
90,55738,616
91,61703,616
92,68097,529
93,74899,498
94,82080,413
95,89613,430
96,97426,420
97,105425,393
98,113499,340
99,121516,394
100,129327,351
101,136767,303
