day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,24850,1225
73,29965,1218
74,34231,834
75,39833,868
76,47384,1480
77,57523,1305
78,70853,1234
79,88868,1399
80,106011,1351
81,125674,927
82,148364,912
83,173923,1486
84,201788,1441
85,230894,1325
86,259642,1202
87,285733,1070
88,307879,862
89,324057,706
90,332420,775
91,331753,999
92,321792,896
93,303346,858
94,278160,817
95,248589,484
96,217004,526
97,185513,894
98,155741,713
99,128750,807
100,105080,646
101,84865,580
