day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,33887,1211
73,44556,1267
74,56249,797
75,72586,835
76,95498,1426
77,127224,1254
78,170097,1232
79,227407,1366
80,289231,1329
81,359247,917
82,433350,928
83,502862,1499
84,555558,1399
85,578443,1347
86,562823,1218
87,509100,1078
88,429514,871
89,340285,683
90,255918,798
91,184999,980
92,130026,977
93,89638,818
94,60969,847
95,41082,505
96,27492,587
97,18309,883
98,12158,731
99,8060,836
100,5338,702
101,3533,601
